,Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_Length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,Preceeding,Following,Space_Hdwy,Time_Hdwy,yielding_pos_X,yielding_pos_Y,yielding_vel,yielding_acc,front_pos_X,front_pos_Y,front_vel,front_acc,front_gap
1894,4.0,361.0,456.0,1118848793100.0,68.256,538.047,6451435.841,1872975.253,15.0,5.4,2.0,48.61,0.0,7.0,0.0,0.0,0.0,0.0,53.443000000000005,486.205,30.74,2.71,53.036,525.328,27.48,11.2,39.12299999999999
1895,4.0,362.0,456.0,1118848793200.0,67.938,543.061,6451439.791,1872972.1469999999,15.0,5.4,2.0,48.61,0.0,7.0,0.0,0.0,0.0,0.0,53.441,489.28,31.09,4.57,53.16,528.134,28.62,10.75,38.85400000000004
1896,4.0,363.0,456.0,1118848793300.0,67.62,548.076,6451443.741,1872969.041,15.0,5.4,2.0,48.61,0.0,7.0,0.0,0.0,0.0,0.0,53.308,547.5790000000001,29.46,6.22,53.685,604.317,31.64,-6.83,56.73799999999994
1897,4.0,364.0,456.0,1118848793400.0,67.30199999999999,553.091,6451447.691000001,1872965.935,15.0,5.4,2.0,48.61,0.0,7.0,0.0,0.0,0.0,0.0,53.418,550.585,29.89,1.99,53.653,607.456,30.97,-7.67,56.87099999999998
1898,4.0,365.0,456.0,1118848793500.0,66.984,558.106,6451451.641,1872962.8290000001,15.0,5.4,2.0,48.61,0.0,7.0,0.0,0.0,0.0,0.0,53.527,553.6,30.01,-0.11,53.58,610.487,30.47,-3.22,56.886999999999944
1899,4.0,366.0,456.0,1118848793600.0,66.67699999999999,562.975,6451455.481000001,1872959.8069999998,15.0,5.4,2.0,48.61,-6.97,7.0,0.0,0.0,0.0,0.0,53.636,556.602,30.0,-0.25,53.535,613.4780000000001,30.44,2.79,56.87600000000009
1900,4.0,367.0,456.0,1118848793700.0,66.336,567.7869999999999,6451459.29,1872956.858,15.0,5.4,2.0,48.04,-4.58,7.0,0.0,0.0,0.0,0.0,53.745,559.5980000000001,29.98,0.0,53.471000000000004,616.506,30.89,6.93,56.9079999999999
1901,4.0,368.0,456.0,1118848793800.0,66.008,572.559,6451463.043,1872953.9419999998,15.0,5.4,2.0,47.6,-3.44,7.0,0.0,0.0,0.0,0.0,53.854,562.596,29.98,0.0,53.423,619.628,31.54,6.83,57.03200000000004
1902,4.0,369.0,456.0,1118848793900.0,65.682,577.307,6451466.83,1872950.9919999999,15.0,5.4,2.0,47.19,-4.51,7.0,0.0,0.0,0.0,0.0,53.963,565.594,29.98,0.0,53.39,622.832,32.09,4.33,57.23799999999994
1903,4.0,370.0,456.0,1118848794000.0,65.359,582.009,6451470.555,1872948.094,15.0,5.4,2.0,46.74,-5.17,7.0,0.0,0.0,0.0,0.0,54.071999999999996,568.592,29.98,0.0,53.339,626.071,32.5,3.21,57.47900000000004
1904,4.0,371.0,456.0,1118848794100.0,65.044,586.648,6451474.208,1872945.25,15.0,5.4,2.0,46.32,-3.56,7.0,0.0,0.0,0.0,0.0,54.181999999999995,571.59,29.98,0.0,53.29,629.33,32.92,4.57,57.74000000000001
1905,4.0,372.0,456.0,1118848794200.0,64.792,591.249,6451477.796,1872942.379,15.0,5.4,2.0,46.04,-1.59,7.0,0.0,0.0,0.0,0.0,54.29,574.5880000000001,29.98,0.0,53.222,632.631,33.46,6.65,58.04299999999989
1906,4.0,373.0,456.0,1118848794300.0,64.67399999999999,595.844,6451481.307,1872939.398,15.0,5.4,2.0,45.86,-1.67,7.0,0.0,0.0,0.0,0.0,54.398999999999994,577.587,29.97,-0.1,53.17,636.0169999999999,34.0,5.24,58.42999999999995
1907,4.0,374.0,456.0,1118848794400.0,64.63600000000001,600.4259999999999,6451484.762999999,1872936.358,15.0,5.4,2.0,45.67,-2.37,7.0,0.0,0.0,0.0,0.0,54.508,580.5840000000001,29.96,-0.13,53.132,639.477,34.24,0.0,58.892999999999915
1908,4.0,375.0,456.0,1118848794500.0,64.52,604.977,6451488.225,1872933.417,15.0,5.4,2.0,45.49,-1.62,7.0,0.0,0.0,0.0,0.0,54.618,583.5740000000001,30.0,0.7,53.093999999999994,642.967,33.73,-9.72,59.392999999999915
1909,4.0,376.0,456.0,1118848794600.0,64.354,609.507,6451491.7020000005,1872930.531,15.0,5.4,2.0,45.41,0.12,7.0,0.0,0.0,0.0,0.0,54.73,586.565,30.18,2.62,53.043,646.2810000000001,32.55,-11.2,59.71600000000001
1910,4.0,377.0,456.0,1118848794700.0,64.219,614.045,6451495.172,1872927.608,15.0,5.4,2.0,45.41,0.45,7.0,0.0,0.0,0.0,0.0,54.831,589.581,30.56,4.99,52.975,649.4580000000001,31.66,-6.82,59.877000000000066
1911,4.0,378.0,456.0,1118848794800.0,64.165,618.597,6451498.612000001,1872924.604,15.0,5.4,2.0,45.38,-0.92,7.0,0.0,0.0,0.0,0.0,54.912,592.654,31.09,6.01,52.933,652.507,31.67,6.86,59.85299999999995
1912,4.0,379.0,456.0,1118848794900.0,64.134,623.138,6451502.025,1872921.593,15.0,5.4,2.0,45.26,-1.93,7.0,0.0,0.0,0.0,0.0,54.997,595.805,31.55,3.92,52.896,655.685,32.55,11.2,59.879999999999995
1913,4.0,380.0,456.0,1118848795000.0,64.065,627.6519999999999,6451505.425,1872918.646,15.0,5.4,2.0,45.1,-1.47,7.0,0.0,0.0,0.0,0.0,55.083999999999996,599.006,31.73,-0.14,52.875,659.0,33.72,9.61,59.99400000000003
1914,4.0,381.0,456.0,1118848795100.0,63.992,632.1469999999999,6451508.822000001,1872915.706,15.0,5.4,2.0,45.0,-0.39,7.0,0.0,0.0,0.0,0.0,55.113,602.197,31.62,-2.76,52.87,662.4889999999999,34.23,-0.09,60.291999999999916
