,Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_Length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,Preceeding,Following,Space_Hdwy,Time_Hdwy,yielding_pos_X,yielding_pos_Y,yielding_vel,yielding_acc,front_pos_X,front_pos_Y,front_vel,front_acc,front_gap
21936,36.0,609.0,384.0,1118847902900.0,69.426,539.002,6451431.668,1872977.415,16.0,7.9,2.0,39.76,0.0,7.0,0.0,0.0,0.0,0.0,53.011,521.7040000000001,34.18,0.0,52.298,576.605,32.39,0.18,54.900999999999954
21937,36.0,610.0,384.0,1118847903000.0,69.309,542.9780000000001,6451434.71,1872974.852,16.0,7.9,2.0,39.76,0.0,7.0,0.0,0.0,0.0,0.0,52.967,525.169,33.76,-6.86,52.318999999999996,579.845,32.41,0.17,54.676000000000045
21938,36.0,611.0,384.0,1118847903100.0,69.191,546.953,6451437.752,1872972.29,16.0,7.9,2.0,39.76,0.0,7.0,0.0,0.0,0.0,0.0,52.924,528.523,32.77,-11.2,52.34,583.095,32.34,-1.09,54.572
21939,36.0,612.0,384.0,1118847903200.0,69.07300000000001,550.929,6451440.794,1872969.727,16.0,7.9,2.0,39.76,0.0,7.0,0.0,0.0,0.0,0.0,52.881,531.72,32.07,-6.15,52.382,586.337,32.12,-3.27,54.61699999999996
21940,36.0,613.0,384.0,1118847903300.0,68.956,554.905,6451443.836,1872967.164,16.0,7.9,2.0,39.76,0.0,7.0,0.0,0.0,0.0,0.0,52.858999999999995,534.826,32.07,6.16,52.383,589.539,31.77,-4.22,54.712999999999965
21941,36.0,614.0,384.0,1118847903400.0,68.83800000000001,558.881,6451446.878,1872964.602,16.0,7.9,2.0,39.76,0.0,7.0,0.0,0.0,0.0,0.0,52.867,538.023,32.77,11.2,52.297,592.683,31.49,-2.04,54.65999999999997
21942,36.0,615.0,384.0,1118847903500.0,68.72,562.857,6451449.92,1872962.039,16.0,7.9,2.0,39.76,0.0,7.0,0.0,0.0,0.0,0.0,52.873999999999995,541.378,33.76,6.87,52.178999999999995,595.7959999999999,31.49,2.04,54.41799999999989
21943,36.0,616.0,384.0,1118847903600.0,68.602,566.8330000000001,6451452.9629999995,1872959.476,16.0,7.9,2.0,39.76,0.0,7.0,0.0,0.0,0.0,0.0,52.882,544.8430000000001,34.19,0.0,52.095,598.938,31.78,4.34,54.094999999999914
21944,36.0,617.0,384.0,1118847903700.0,68.484,570.809,6451456.005,1872956.914,16.0,7.9,2.0,39.76,0.0,7.0,0.0,0.0,0.0,0.0,52.89,548.262,34.19,0.0,52.097,602.141,32.14,3.55,53.87900000000002
21945,36.0,618.0,384.0,1118847903800.0,68.367,574.785,6451459.047,1872954.351,16.0,7.9,2.0,39.76,0.0,7.0,0.0,0.0,0.0,0.0,52.897,551.68,34.19,0.0,52.126999999999995,605.387,32.4,1.46,53.706999999999994
